ID	adj.P.Val	P.Value	logFC	GeneSymbol
A_33_P3317005	0.3035	1.21E-03	1.22	
A_19_P00325794	0.3035	1.21E-03	-5.76E-01	LOC100130097
CUST_13217_PI429545395	0.3035	1.22E-03	-1.15	
A_23_P54357	0.3035	1.22E-03	6.10E-01	LDHAL6B
CUST_23028_PI429545402	0.3077	1.24E-03	-6.94E-01	
A_23_P320261	0.3086	1.25E-03	-9.34E-01	DMKN
CUST_27263_PI429545388	0.3118	1.27E-03	-1.31	
CUST_34763_PI429545376	0.3153	1.29E-03	-1.54	
CUST_19729_PI429545406	0.3153	1.29E-03	8.40E-01	
A_24_P310256	0.3153	1.29E-03	-6.18E-01	
CUST_1848_PI429545388	0.3154	1.30E-03	6.14E-01	
CUST_23138_PI429545402	0.3174	1.31E-03	-2.88	
CUST_28906_PI429545388	0.3184	1.32E-03	-5.22E-01	
A_33_P3234088	0.3254	1.36E-03	-6.12E-01	
CUST_20993_PI429545410	0.3254	1.36E-03	-1.44	
A_33_P3224362	0.3269	1.38E-03	9.32E-01	PCBP3
CUST_1134_PI429545402	0.3269	1.38E-03	-8.14E-01	
CUST_28123_PI429545376	0.3269	1.38E-03	1.05	
A_24_P109214	0.3272	1.39E-03	1.61	APOC1
A_23_P345460	0.3285	1.40E-03	8.24E-01	PLEKHG4
A_33_P3221859	0.3285	1.41E-03	6.00E-01	SHOX2
A_21_P0003267	0.3285	1.41E-03	9.84E-01	
CUST_26509_PI429545406	0.3317	1.43E-03	6.16E-01	
A_24_P254850	0.3323	1.44E-03	-1.53	
CUST_10952_PI429545376	0.3323	1.44E-03	5.84E-01	
A_24_P356916	0.3328	1.45E-03	6.48E-01	SLC13A3
A_21_P0013618	0.3328	1.45E-03	-7.68E-01	FLJ35024
A_23_P23584	0.3328	1.46E-03	-6.48E-01	CTNNBIP1
CUST_2444_PI429545395	0.333	1.47E-03	-7.28E-01	
CUST_13240_PI429545402	0.333	1.47E-03	6.88E-01	
A_24_P372223	0.3339	1.48E-03	1.44	MSR1
CUST_21088_PI429545402	0.3339	1.48E-03	-9.62E-01	
CUST_13652_PI429545376	0.3354	1.50E-03	-1.24	
CUST_35104_PI429545376	0.3354	1.51E-03	-9.70E-01	
A_21_P0014028	0.3354	1.51E-03	-6.44E-01	PP12719
A_23_P140434	0.3354	1.52E-03	-7.84E-01	MYO5C
A_33_P3214204	0.3354	1.52E-03	7.88E-01	
A_23_P254507	0.3354	1.52E-03	-1.14	HOPX
A_33_P3290139	0.3358	1.53E-03	-5.88E-01	ASB15
CUST_16943_PI429545410	0.3377	1.54E-03	-5.66E-01	
A_23_P436158	0.3389	1.55E-03	-1.45	TLL2
A_23_P389102	0.3416	1.57E-03	6.12E-01	MYO1D
CUST_29951_PI429545380	0.3416	1.57E-03	-1.09	
A_33_P3396527	0.343	1.59E-03	8.24E-01	POLR3G
CUST_36625_PI429545406	0.3443	1.60E-03	-5.90E-01	
CUST_4354_PI429545399	0.3443	1.61E-03	-1.37	
CUST_37202_PI429545380	0.3443	1.61E-03	1.33	
CUST_35255_PI429545406	0.345	1.62E-03	6.62E-01	
CUST_3219_PI429545380	0.3455	1.62E-03	-8.84E-01	
A_23_P78867	0.3467	1.64E-03	6.30E-01	RYR1
A_33_P3379486	0.349	1.67E-03	1	
CUST_34845_PI429545406	0.349	1.67E-03	-6.80E-01	
A_33_P3805839	0.349	1.68E-03	5.32E-01	
CUST_17118_PI429545376	0.349	1.68E-03	-6.48E-01	
A_23_P170541	0.349	1.68E-03	6.22E-01	KCNH6
CUST_39507_PI429545384	0.349	1.68E-03	-5.58E-01	
CUST_35816_PI429545402	0.349	1.69E-03	-9.10E-01	
CUST_1020_PI429545388	0.349	1.69E-03	-6.56E-01	
CUST_14477_PI429545395	0.3503	1.70E-03	6.86E-01	
CUST_17784_PI429545410	0.3516	1.71E-03	-8.72E-01	
CUST_38777_PI429545384	0.3591	1.75E-03	7.32E-01	
A_33_P3365228	0.3593	1.76E-03	-6.46E-01	
CUST_38337_PI429545384	0.3609	1.79E-03	-6.34E-01	
A_23_P303072	0.3609	1.79E-03	6.72E-01	GRIA1
CUST_32343_PI429545410	0.3609	1.80E-03	5.24E-01	
CUST_13459_PI429545380	0.3609	1.81E-03	7.38E-01	
CUST_3619_PI429545388	0.3609	1.81E-03	4.06E-01	
CUST_15698_PI429545388	0.3609	1.81E-03	-7.48E-01	
CUST_41433_PI429545410	0.3609	1.81E-03	-1.34	
CUST_24773_PI429545410	0.3609	1.82E-03	-9.48E-01	
A_33_P3673242	0.3609	1.83E-03	-1.46	C14orf91
CUST_15143_PI429545376	0.3609	1.84E-03	6.64E-01	
CUST_38714_PI429545402	0.3609	1.84E-03	-1.22	
CUST_11863_PI429545410	0.3609	1.84E-03	8.56E-01	
A_23_P216501	0.3609	1.84E-03	-5.90E-01	TPM2
A_24_P131066	0.3609	1.86E-03	1.09	
A_33_P3237948	0.3609	1.87E-03	5.26E-01	TCHHL1
A_23_P74178	0.3609	1.87E-03	-6.76E-01	HCRTR1
A_23_P375165	0.3609	1.87E-03	-9.20E-01	TEX19
A_32_P209230	0.3609	1.87E-03	-4.68E-01	
CUST_29606_PI429545402	0.3609	1.88E-03	-4.04E-01	
A_23_P91095	0.3609	1.88E-03	1.98	CD28
CUST_32724_PI429545384	0.3621	1.89E-03	-5.34E-01	
