name	Fold change	p-value	G2-1	G2-2	G2-3	G2-4	G2-5	G2-6	G2-7	G2-8	G2-9	G2-10	G3-1	G3-2	G3-3	G3-4	G3-5	G3-6	G3-7	G3-8	G3-9	G3-10
M243T359	2.371002366	0.002761372	9897.84965	133105.343	56900.27603	100825.819	74260.19784	71443.91867	109167.5234	54858.84476	75195.02936	113221.7015	31400.86704	48757.2259	17249.4841	15272.98747	45139.23011	28843.08591	84139.48355	42021.68368	8269.706842	15842.4352
M112T361_2	1.482002768	0.049333451	69938.29715	250724.5674	354282.9105	350740.3544	339358.9572	346971.6112	217362.8016	121436.2175	278363.7204	379638.2941	159509.1766	229663.2063	129542.5487	164522.6837	99399.16015	210769.8464	224473.391	362400.3016	101981.9619	145546.5436
M279T171	2.478358594	0.045578144	182496.4479	85085.17373	53614.48088	14873.06976	66744.07558	23965.15767	58729.0801	23992.63666	41118.43664	24297.1621	36352.33119	25540.84775	27488.62271	15013.92279	34501.15764	17668.52225	37553.98268	17240.15087	13695.41965	6919.431654
M134T405	2.712349826	0.00025259	36801.03579	131609.2059	75992.20507	153250.0499	178055.5927	131717.7969	124055.9435	82540.31614	94056.29278	171889.597	98637.11585	33466.6815	46580.72453	25400.40354	29805.30731	54044.08497	38115.61643	69724.58669	8998.411912	30262.40985
M227T358	1.716800026	0.007773192	80453.64401	95401.28116	36046.51852	71730.78475	66497.51647	51589.19623	63627.27641	51962.79786	48107.72161	63033.40707	17799.81005	49203.26447	38181.71354	19318.89176	29284.64328	30126.81813	82923.09252	59420.35848	11765.17642	28035.25666
M203T38	2.012178869	0.024391082	43173.25804	130968.0711	77326.16632	20764.23296	123503.8911	71019.64433	94852.09468	43672.74359	27918.65195	34114.69351	35053.90914	47562.2914	23527.47738	24217.69867	39642.70896	47340.62715	67294.51328	13776.97662	11969.0366	21252.00136
M148T450	2.374237023	0.011438036	21491.91512	119598.7958	61641.49883	155154.1021	109575.855	92195.09043	70781.073	45987.15841	144316.702	221578.7396	86613.47399	36293.53963	36349.29148	40132.63339	8710.069352	101038.5847	20974.18898	76215.27921	5990.51624	26695.42812
M156T377	3.020819598	0.000283658	31005.59627	387695.9234	270610.5856	320604.5069	610522.973	445393.2518	401606.6221	308875.7303	235722.623	482092.9143	154425.3254	171304.071	120674.6017	108558.3856	83552.876	106062.8695	186565.4833	130840.8816	20597.01988	74101.50297
M132T272	1.676003161	0.008143857	16518.36211	283067.8557	213615.2951	254019.5805	291212.6937	264138.6736	261025.721	167801.8266	223780.1451	312260.502	100671.629	149407.1332	150582.9096	144564.2912	107381.0395	168916.4622	216211.411	173833.462	42292.70689	110957.7744
M132T260_2	1.91632344	0.003056682	65120.81949	932506.6228	657745.5576	982481.5358	800294.5326	799699.4001	687233.4069	447072.3621	662973.3005	971466.6776	329601.6061	427452.3592	377227.8644	302098.0743	327212.3737	455247.2656	570387.8067	496563.1441	77752.51298	292726.1119
M150T280_2	2.062701874	0.002733428	7215.756548	154475.0791	91558.42571	170603.4756	170326.4398	131864.9247	122754.099	75967.18995	116090.8051	166077.8886	52000.68815	74619.35062	53715.07891	50613.28183	47062.85503	73395.56557	93275.61742	82111.66784	11247.54785	47081.23804
M166T254_2	2.158178937	0.004188907	82070.58413	1671552.745	1031197.169	2132469.019	1462739.635	1305229.911	1100837.394	749710.9815	1295818.017	2111759.453	529147.8846	622595.3586	631294.8576	487001.7827	492731.8581	736925.5578	1007710.8	968352.9951	106257.6834	415345.3351
M130T399	1.533445343	0.01358339	267295.2411	1576246.579	1163276.929	1697979.103	1611639.566	1203321.654	1324040.607	1011101.016	1173294.549	1533612.794	1222405.425	950025.2775	785338.0817	752681.1205	716350.5637	1213437.951	708351.6603	840448.9431	210867.7067	791978.3569
